x1,x2,µA1,µA2,µB1,µB2,output
1.4,1.7,0.3418262381757008,0.9326791675849062,0.583026750605496,0.6509548326520566,1.549324832046386
1.7,2.0,0.5839667420698312,0.6486788281578794,0.9160880509305466,0.40974426975162936,1.8418469233385966
2.0,2.3,0.9171803432326956,0.40854873838844713,0.9453722819755307,0.26434915204672876,2.1466413343819553
2.3,2.5,0.9442171165926231,0.2638201964070981,0.7337323763342104,0.2032070887617118,2.4008871521517308
2.5,2.5,0.7317709407895141,0.20291215893667033,0.7337323763342104,0.2032070887617118,2.4999999997145275
2.5,2.3,0.7317709407895141,0.20291215893667033,0.9453722819755307,0.26434915204672876,2.398994068236661
2.3,2.0,0.9442171165926231,0.2638201964070981,0.9160880509305466,0.40974426975162936,2.14253567923755
2.0,1.7,0.9171803432326956,0.40854873838844713,0.583026750605496,0.6509548326520566,1.8319617118341402
1.7,1.4,0.5839667420698312,0.6486788281578794,0.3414657425353347,0.9347100092004803,1.526065897583893
1.4,1.3,0.3418262381757008,0.9326791675849062,0.2886779860776561,0.988406382600773,1.3434930480565652
1.3,1.2,0.2889236893072906,0.9874123656822874,0.24599556632733724,0.9977312140229384,1.2432222416980019
1.2,1.3,0.24615768861685702,0.9981673737302567,0.2886779860776561,0.988406382600773,1.255644076477477
1.3,1.5,0.2889236893072906,0.9874123656822874,0.4067411466298452,0.8498799858599185,1.4065721057749518
1.5,1.8,0.40725551691905265,0.847362949548041,0.6935805664954068,0.5589755924931212,1.6452945895635884
1.8,2.1,0.694736943430755,0.5570700902638988,0.9854194561601862,0.3521964572825424,1.9426125105502068
2.1,2.2,0.9859647331021882,0.35127663695081346,0.9964873609404538,0.30425030468902264,2.1500388104206243
2.2,2.3,0.9961860971298292,0.3035500294640926,0.9453722819755307,0.26434915204672876,2.250209814355309
2.3,2.2,0.9442171165926231,0.2638201964070981,0.9964873609404538,0.30425030468902264,2.249178808304271
2.2,2.1,0.9961860971298292,0.3035500294640926,0.9854194561601862,0.3521964572825424,2.148789981535712
2.1,1.8,0.9859647331021882,0.35127663695081346,0.6935805664954068,0.5589755924931212,1.935468308238189
1.8,1.6,0.694736943430755,0.5570700902638988,0.486828526225151,0.7507010559172727,1.6881369983271202
1.6,1.4,0.48753962185597943,0.7481650468717181,0.3414657425353347,0.9347100092004803,1.4860519374512844
1.4,1.5,0.3418262381757008,0.9326791675849062,0.4067411466298452,0.8498799858599185,1.453839793130007
1.5,1.8,0.40725551691905265,0.847362949548041,0.6935805664954068,0.5589755924931212,1.6452945895635884
1.8,2.1,0.694736943430755,0.5570700902638988,0.9854194561601862,0.3521964572825424,1.9426125105502068
2.1,2.3,0.9859647331021882,0.35127663695081346,0.9453722819755307,0.26434915204672876,2.1993813789620713
2.3,2.4,0.9442171165926231,0.2638201964070981,0.8492033496371075,0.23107232661265206,2.350377409372536
2.4,2.4,0.847468475037358,0.23067568034265754,0.8492033496371075,0.23107232661265206,2.399999999793937
2.4,2.3,0.847468475037358,0.23067568034265754,0.9453722819755307,0.26434915204672876,2.3494411725351476
2.3,2.0,0.9442171165926231,0.2638201964070981,0.9160880509305466,0.40974426975162936,2.14253567923755
2.0,1.7,0.9171803432326956,0.40854873838844713,0.583026750605496,0.6509548326520566,1.8319617118341402
1.7,1.4,0.5839667420698312,0.6486788281578794,0.3414657425353347,0.9347100092004803,1.526065897583893
1.4,1.1,0.3418262381757008,0.9326791675849062,0.21134093413912947,0.9601687912136148,1.2267384340327863
1.1,1.1,0.21144294781977369,0.9620530505249504,0.21134093413912947,0.9601687912136148,1.0999999999199863
1.1,1.1,0.21144294781977369,0.9620530505249504,0.21134093413912947,0.9601687912136148,1.0999999999199863
1.1,1.3,0.21144294781977369,0.9620530505249504,0.2886779860776561,0.988406382600773,1.2108555509320942
1.3,1.6,0.2889236893072906,0.9874123656822874,0.486828526225151,0.7507010559172727,1.4540577518361475
1.6,1.9,0.48753962185597943,0.7481650468717181,0.8104183786405487,0.4783695346864821,1.742685257532288
1.9,2.1,0.8116766686839701,0.47684047895957105,0.9854194561601862,0.3521964572825424,1.9976780946393025
2.1,2.3,0.9859647331021882,0.35127663695081346,0.9453722819755307,0.26434915204672876,2.1993813789620713
2.3,2.3,0.9442171165926231,0.2638201964070981,0.9453722819755307,0.26434915204672876,2.299999999842615
2.3,2.2,0.9442171165926231,0.2638201964070981,0.9964873609404538,0.30425030468902264,2.249178808304271
2.2,2.0,0.9961860971298292,0.3035500294640926,0.9160880509305466,0.40974426975162936,2.095536482157744
2.0,1.7,0.9171803432326956,0.40854873838844713,0.583026750605496,0.6509548326520566,1.8319617118341402
1.5,1.5,0.40725551691905265,0.847362949548041,0.4067411466298452,0.8498799858599185,1.4999999999048574
1.5,1.7,0.40725551691905265,0.847362949548041,0.583026750605496,0.6509548326520566,1.601210900487778
1.7,1.9,0.5839667420698312,0.6486788281578794,0.8104183786405487,0.4783695346864821,1.7977037849374145
1.9,2.2,0.8116766686839701,0.47684047895957105,0.9964873609404538,0.30425030468902264,2.044427049172208
2.2,2.4,0.9961860971298292,0.3035500294640926,0.8492033496371075,0.23107232661265206,2.300213274828364
2.4,2.5,0.847468475037358,0.23067568034265754,0.7337323763342104,0.2032070887617118,2.450522589501278
2.5,2.4,0.7317709407895141,0.20291215893667033,0.8492033496371075,0.23107232661265206,2.449599450835133
2.4,2.3,0.847468475037358,0.23067568034265754,0.9453722819755307,0.26434915204672876,2.3494411725351476
2.3,2.0,0.9442171165926231,0.2638201964070981,0.9160880509305466,0.40974426975162936,2.14253567923755
2.0,1.6,0.9171803432326956,0.40854873838844713,0.486828526225151,0.7507010559172727,1.7686469481705003
1.6,1.2,0.48753962185597943,0.7481650468717181,0.24599556632733724,0.9977312140229384,1.3648314782810056
1.2,1.0,0.24615768861685702,0.9981673737302567,0.18302284799026278,0.8854584914309025,1.0856433488305701
1.0,0.9,0.18308190604449376,0.8884377325594667,0.15970774818273936,0.789952718171862,0.9430492419079561
0.9,1.0,0.15973622382892536,0.7935130686038615,0.18302284799026278,0.8854584914309025,0.9568239624797528
1.0,1.2,0.18308190604449376,0.8884377325594667,0.24599556632733724,0.9977312140229384,1.112225786453477
1.2,1.5,0.24615768861685702,0.9981673737302567,0.4067411466298452,0.8498799858599185,1.358724613094166
1.5,1.8,0.40725551691905265,0.847362949548041,0.6935805664954068,0.5589755924931212,1.6452945895635884
1.8,2.1,0.694736943430755,0.5570700902638988,0.9854194561601862,0.3521964572825424,1.9426125105502068
2.1,2.3,0.9859647331021882,0.35127663695081346,0.9453722819755307,0.26434915204672876,2.1993813789620713
2.3,2.4,0.9442171165926231,0.2638201964070981,0.8492033496371075,0.23107232661265206,2.350377409372536
2.4,2.3,0.847468475037358,0.23067568034265754,0.9453722819755307,0.26434915204672876,2.3494411725351476
2.3,2.1,0.9442171165926231,0.2638201964070981,0.9854194561601862,0.3521964572825424,2.197053397235436
1.7,1.6,0.5839667420698312,0.6486788281578794,0.486828526225151,0.7507010559172727,1.6452004384971308
1.6,1.6,0.48753962185597943,0.7481650468717181,0.486828526225151,0.7507010559172727,1.5999999998953718
1.6,1.8,0.48753962185597943,0.7481650468717181,0.6935805664954068,0.5589755924931212,1.6990363807927196
1.8,2.0,0.694736943430755,0.5570700902638988,0.9160880509305466,0.40974426975162936,1.8973119584631584
2.0,2.2,0.9171803432326956,0.40854873838844713,0.9964873609404538,0.30425030468902264,2.098471126486164
2.2,2.4,0.9961860971298292,0.3035500294640926,0.8492033496371075,0.23107232661265206,2.300213274828364
2.4,2.5,0.847468475037358,0.23067568034265754,0.7337323763342104,0.2032070887617118,2.450522589501278
2.5,2.5,0.7317709407895141,0.20291215893667033,0.7337323763342104,0.2032070887617118,2.4999999997145275
2.5,2.2,0.7317709407895141,0.20291215893667033,0.9964873609404538,0.30425030468902264,2.347467784538832
2.2,1.9,0.9961860971298292,0.3035500294640926,0.8104183786405487,0.4783695346864821,2.0391415451817063
1.9,1.4,0.8116766686839701,0.47684047895957105,0.3414657425353347,0.9347100092004803,1.6002113731407257
1.4,1.0,0.3418262381757008,0.9326791675849062,0.18302284799026278,0.8854584914309025,1.167989331870021
1.0,0.8,0.18308190604449376,0.8884377325594667,0.14035864207906976,0.6891305081529291,0.886157183928555
0.8,0.7,0.1403654193499332,0.6928153973350748,0.12417261809976148,0.5934807534985275,0.7432145878302521
0.7,0.8,0.12416407469977454,0.5969889006842637,0.14035864207906976,0.6891305081529291,0.7569367533837631
0.8,1.0,0.1403654193499332,0.6928153973350748,0.18302284799026278,0.8854584914309025,0.9136689868708576
1.0,1.4,0.18308190604449376,0.8884377325594667,0.3414657425353347,0.9347100092004803,1.2165548313263248
1.4,1.8,0.3418262381757008,0.9326791675849062,0.6935805664954068,0.5589755924931212,1.5902207742388583
1.8,2.1,0.694736943430755,0.5570700902638988,0.9854194561601862,0.3521964572825424,1.9426125105502068
2.1,2.4,0.9859647331021882,0.35127663695081346,0.8492033496371075,0.23107232661265206,2.248758499170261
2.4,2.5,0.847468475037358,0.23067568034265754,0.7337323763342104,0.2032070887617118,2.450522589501278
2.5,2.4,0.7317709407895141,0.20291215893667033,0.8492033496371075,0.23107232661265206,2.449599450835133
1.9,1.8,0.8116766686839701,0.47684047895957105,0.6935805664954068,0.5589755924931212,1.8468245257326052
1.8,1.7,0.694736943430755,0.5570700902638988,0.583026750605496,0.6509548326520566,1.7460022271733093
1.7,1.7,0.5839667420698312,0.6486788281578794,0.583026750605496,0.6509548326520566,1.699999999888236
1.7,1.9,0.5839667420698312,0.6486788281578794,0.8104183786405487,0.4783695346864821,1.7977037849374145
1.9,2.1,0.8116766686839701,0.47684047895957105,0.9854194561601862,0.3521964572825424,1.9976780946393025
